date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:05:13	16852/16852	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2011%20Sep%202017%2001:02:38%20GMT	https://pioneercoin.com/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.eot	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.eot	(from https://pioneercoin.com/)
23:05:13	533890/533890	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Sep%202017%2001:02:38%20GMT	https://pioneercoin.com/wp-content/themes/jupiter/assets/stylesheet/min/full-styles.css?ver=5.9.7	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/themes/jupiter/assets/stylesheet/min/full-styles1014.css	(from https://pioneercoin.com/)
23:05:13	16852/16852	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2011%20Sep%202017%2001:02:38%20GMT	https://pioneercoin.com/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.eot?	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/fontd41d.eot	(from https://pioneercoin.com/)
23:05:13	16748/16748	---M--	200	added ('OK')	font/woff	date:Mon,%2011%20Sep%202017%2001:02:38%20GMT	https://pioneercoin.com/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.woff	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.woff	(from https://pioneercoin.com/)
23:05:14	16672/16672	---M--	200	added ('OK')	font/ttf	date:Mon,%2011%20Sep%202017%2001:02:38%20GMT	https://pioneercoin.com/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.ttf	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.ttf	(from https://pioneercoin.com/)
23:05:14	46552/46552	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Sep%202017%2001:02:38%20GMT	https://pioneercoin.com/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.svg	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.svg	(from https://pioneercoin.com/)
23:05:15	35741/35741	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Jan%202018%2012:03:51%20GMT	https://pioneercoin.com/wp-content/uploads/mk_assets/theme-options-production.css?ver=1516795426	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/uploads/mk_assets/theme-options-production6011.css	(from https://pioneercoin.com/)
23:05:15	462256/462256	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Sep%202017%2001:06:01%20GMT	https://pioneercoin.com/wp-content/plugins/js_composer_theme/assets/css/js_composer.min.css?ver=5.2.1	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/plugins/js_composer_theme/assets/css/js_composer.min7752.css	(from https://pioneercoin.com/)
23:05:15	266/266	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Sep%202017%2001:08:06%20GMT	https://pioneercoin.com/wp-content/uploads/masterslider/custom.css?ver=1.1	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/uploads/masterslider/custom4963.css	(from https://pioneercoin.com/)
23:05:15	81249/81249	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Sep%202017%2001:06:04%20GMT	https://pioneercoin.com/wp-content/plugins/masterslider/public/assets/css/masterslider.main.css?ver=3.2.0	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/plugins/masterslider/public/assets/css/masterslider.main55a0.css	(from https://pioneercoin.com/)
23:05:15	27639/27639	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Sep%202017%2009:32:13%20GMT	https://pioneercoin.com/wp-content/uploads/smile_fonts/Defaults/Defaults.css?ver=4.7.3	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/uploads/smile_fonts/Defaults/Defaultsfe9d.css	(from https://pioneercoin.com/)
23:05:16	1599/1599	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Sep%202017%2009:28:14%20GMT	https://pioneercoin.com/wp-content/plugins/Ultimate_VC_Addons/assets/css/icons.css?ver=3.16.7	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-content/plugins/Ultimate_VC_Addons/assets/css/iconsbcd2.css	(from https://pioneercoin.com/)
23:05:16	97184/97184	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Mar%202017%2018:01:27%20GMT	https://pioneercoin.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/pcoin/pioneercoin.com/wp-includes/js/jquery/jqueryb8ff.js	(from https://pioneercoin.com/)
